age,sex,lx,source_id,notes
75,male,75991,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
76,male,73836,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
77,male,71531,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
78,male,69079,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
79,male,66461,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
80,male,63651,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
81,male,60631,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
82,male,57407,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
83,male,54005,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
84,male,50468,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
85,male,46795,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
86,male,42972,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
87,male,39003,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
88,male,34918,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
89,male,30790,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
90,male,26705,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
91,male,22749,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
92,male,19076,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
93,male,15686,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
94,male,12616,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
95,male,9897,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
96,male,7546,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
97,male,5572,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
98,male,3968,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
99,male,2712,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
100,male,1770,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
101,male,1095,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
102,male,639,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
103,male,348,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
104,male,176,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
105,male,82,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
75,female,88149,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
76,female,87087,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
77,female,85906,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
78,female,84596,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
79,female,83140,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
80,female,81514,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
81,female,79692,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
82,female,77646,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
83,female,75351,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
84,female,72795,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
85,female,69950,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
86,female,66786,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
87,female,63284,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
88,female,59444,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
89,female,55282,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
90,female,50819,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
91,female,46087,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
92,female,41153,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
93,female,36124,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
94,female,31136,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
95,female,26352,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
96,female,21769,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
97,female,17482,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
98,female,13575,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
99,female,10130,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
100,female,7212,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
101,female,4856,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
102,female,3060,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
103,female,1783,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
104,female,947,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
105,female,451,E13,Official 2025 Japanese abridged life table; ages 75 to 105 retained for death-QALY calibration.
