age,sex,lx,data_status
0,male,100000.0,synthetic_example_not_for_analysis
1,male,99950.0,synthetic_example_not_for_analysis
2,male,99900.025,synthetic_example_not_for_analysis
3,male,99850.074988,synthetic_example_not_for_analysis
4,male,99800.14995,synthetic_example_not_for_analysis
5,male,99750.249875,synthetic_example_not_for_analysis
6,male,99700.37475,synthetic_example_not_for_analysis
7,male,99650.524563,synthetic_example_not_for_analysis
8,male,99600.6993,synthetic_example_not_for_analysis
9,male,99550.898951,synthetic_example_not_for_analysis
10,male,99501.123501,synthetic_example_not_for_analysis
11,male,99451.37294,synthetic_example_not_for_analysis
12,male,99401.647253,synthetic_example_not_for_analysis
13,male,99351.946429,synthetic_example_not_for_analysis
14,male,99302.270456,synthetic_example_not_for_analysis
15,male,99252.619321,synthetic_example_not_for_analysis
16,male,99202.993011,synthetic_example_not_for_analysis
17,male,99153.391515,synthetic_example_not_for_analysis
18,male,99103.814819,synthetic_example_not_for_analysis
19,male,99054.262912,synthetic_example_not_for_analysis
20,male,99004.73578,synthetic_example_not_for_analysis
21,male,98955.233412,synthetic_example_not_for_analysis
22,male,98905.755796,synthetic_example_not_for_analysis
23,male,98856.302918,synthetic_example_not_for_analysis
24,male,98806.874766,synthetic_example_not_for_analysis
25,male,98757.471329,synthetic_example_not_for_analysis
26,male,98708.092593,synthetic_example_not_for_analysis
27,male,98658.738547,synthetic_example_not_for_analysis
28,male,98609.409178,synthetic_example_not_for_analysis
29,male,98560.104473,synthetic_example_not_for_analysis
30,male,98510.824421,synthetic_example_not_for_analysis
31,male,98461.569009,synthetic_example_not_for_analysis
32,male,98412.338224,synthetic_example_not_for_analysis
33,male,98363.132055,synthetic_example_not_for_analysis
34,male,98313.950489,synthetic_example_not_for_analysis
35,male,98264.793514,synthetic_example_not_for_analysis
36,male,98215.661117,synthetic_example_not_for_analysis
37,male,98166.553286,synthetic_example_not_for_analysis
38,male,98117.47001,synthetic_example_not_for_analysis
39,male,98068.411275,synthetic_example_not_for_analysis
40,male,98019.377069,synthetic_example_not_for_analysis
41,male,97970.367381,synthetic_example_not_for_analysis
42,male,97921.382197,synthetic_example_not_for_analysis
43,male,97872.421506,synthetic_example_not_for_analysis
44,male,97823.485295,synthetic_example_not_for_analysis
45,male,97774.573552,synthetic_example_not_for_analysis
46,male,97725.686266,synthetic_example_not_for_analysis
47,male,97676.823423,synthetic_example_not_for_analysis
48,male,97627.985011,synthetic_example_not_for_analysis
49,male,97579.171018,synthetic_example_not_for_analysis
50,male,97210.321752,synthetic_example_not_for_analysis
51,male,96807.958509,synthetic_example_not_for_analysis
52,male,96369.194395,synthetic_example_not_for_analysis
53,male,95890.925226,synthetic_example_not_for_analysis
54,male,95369.819571,synthetic_example_not_for_analysis
55,male,94802.309783,synthetic_example_not_for_analysis
56,male,94184.584419,synthetic_example_not_for_analysis
57,male,93512.582583,synthetic_example_not_for_analysis
58,male,92781.990764,synthetic_example_not_for_analysis
59,male,91988.24292,synthetic_example_not_for_analysis
60,male,91126.524621,synthetic_example_not_for_analysis
61,male,90191.782274,synthetic_example_not_for_analysis
62,male,89178.73853,synthetic_example_not_for_analysis
63,male,88081.915214,synthetic_example_not_for_analysis
64,male,86895.665236,synthetic_example_not_for_analysis
65,male,85614.215134,synthetic_example_not_for_analysis
66,male,84231.72008,synthetic_example_not_for_analysis
67,male,82742.333298,synthetic_example_not_for_analysis
68,male,81140.291995,synthetic_example_not_for_analysis
69,male,79420.021937,synthetic_example_not_for_analysis
70,male,77576.262798,synthetic_example_not_for_analysis
71,male,75604.216274,synthetic_example_not_for_analysis
72,male,73499.718661,synthetic_example_not_for_analysis
73,male,71259.439095,synthetic_example_not_for_analysis
74,male,68881.103917,synthetic_example_not_for_analysis
75,male,66363.746521,synthetic_example_not_for_analysis
76,male,63707.980596,synthetic_example_not_for_analysis
77,male,60916.292745,synthetic_example_not_for_analysis
78,male,57993.348025,synthetic_example_not_for_analysis
79,male,54946.299028,synthetic_example_not_for_analysis
80,male,51785.085582,synthetic_example_not_for_analysis
81,male,48522.708237,synthetic_example_not_for_analysis
82,male,45175.454416,synthetic_example_not_for_analysis
83,male,41763.05183,synthetic_example_not_for_analysis
84,male,38308.719804,synthetic_example_not_for_analysis
85,male,34839.086243,synthetic_example_not_for_analysis
86,male,31383.936723,synthetic_example_not_for_analysis
87,male,27975.763745,synthetic_example_not_for_analysis
88,male,24649.089467,synthetic_example_not_for_analysis
89,male,21439.545504,synthetic_example_not_for_analysis
90,male,18382.709489,synthetic_example_not_for_analysis
91,male,15512.720636,synthetic_example_not_for_analysis
92,male,12860.725173,synthetic_example_not_for_analysis
93,male,10453.235782,synthetic_example_not_for_analysis
94,male,8310.52384,synthetic_example_not_for_analysis
95,male,6445.194324,synthetic_example_not_for_analysis
96,male,4861.113641,synthetic_example_not_for_analysis
97,male,3552.862341,synthetic_example_not_for_analysis
98,male,2505.859401,synthetic_example_not_for_analysis
99,male,1697.247108,synthetic_example_not_for_analysis
100,male,1097.534974,synthetic_example_not_for_analysis
101,male,672.885837,synthetic_example_not_for_analysis
102,male,387.805421,synthetic_example_not_for_analysis
103,male,207.895964,synthetic_example_not_for_analysis
104,male,102.287119,synthetic_example_not_for_analysis
105,male,45.390128,synthetic_example_not_for_analysis
106,male,17.743391,synthetic_example_not_for_analysis
107,male,5.909346,synthetic_example_not_for_analysis
108,male,1.593657,synthetic_example_not_for_analysis
109,male,0.319216,synthetic_example_not_for_analysis
110,male,0.039689,synthetic_example_not_for_analysis
0,female,100000.0,synthetic_example_not_for_analysis
1,female,99950.0,synthetic_example_not_for_analysis
2,female,99900.025,synthetic_example_not_for_analysis
3,female,99850.074988,synthetic_example_not_for_analysis
4,female,99800.14995,synthetic_example_not_for_analysis
5,female,99750.249875,synthetic_example_not_for_analysis
6,female,99700.37475,synthetic_example_not_for_analysis
7,female,99650.524563,synthetic_example_not_for_analysis
8,female,99600.6993,synthetic_example_not_for_analysis
9,female,99550.898951,synthetic_example_not_for_analysis
10,female,99501.123501,synthetic_example_not_for_analysis
11,female,99451.37294,synthetic_example_not_for_analysis
12,female,99401.647253,synthetic_example_not_for_analysis
13,female,99351.946429,synthetic_example_not_for_analysis
14,female,99302.270456,synthetic_example_not_for_analysis
15,female,99252.619321,synthetic_example_not_for_analysis
16,female,99202.993011,synthetic_example_not_for_analysis
17,female,99153.391515,synthetic_example_not_for_analysis
18,female,99103.814819,synthetic_example_not_for_analysis
19,female,99054.262912,synthetic_example_not_for_analysis
20,female,99004.73578,synthetic_example_not_for_analysis
21,female,98955.233412,synthetic_example_not_for_analysis
22,female,98905.755796,synthetic_example_not_for_analysis
23,female,98856.302918,synthetic_example_not_for_analysis
24,female,98806.874766,synthetic_example_not_for_analysis
