wtp_jpy_per_qaly,probability_cost_effective,mean_incremental_nmb_jpy
0.0,0.0,-54197.29392995153
500000.0,0.0,-52557.41065345624
1000000.0,0.0,-50917.52737696093
1500000.0,0.0,-49277.64410046563
2000000.0,0.0,-47637.76082397033
2500000.0,0.0,-45997.87754747503
3000000.0,0.0,-44357.99427097973
3500000.0,0.0,-42718.110994484436
4000000.0,0.0,-41078.22771798913
4500000.0,0.0,-39438.344441493835
5000000.0,0.0,-37798.46116499853
5500000.0,0.0,-36158.57788850323
6000000.0,0.0,-34518.69461200794
6500000.0,0.0,-32878.81133551264
7000000.0,0.0001,-31238.928059017337
7500000.0,0.0002,-29599.044782522036
8000000.0,0.0011,-27959.161506026732
8500000.0,0.0036,-26319.278229531435
9000000.0,0.0074,-24679.394953036135
9500000.0,0.0136,-23039.511676540835
10000000.0,0.0228,-21399.628400045534
10500000.0,0.0371,-19759.745123550238
11000000.0,0.0556,-18119.861847054934
11500000.0,0.0781,-16479.978570559637
12000000.0,0.1049,-14840.095294064336
12500000.0,0.1367,-13200.212017569038
13000000.0,0.1715,-11560.328741073738
13500000.0,0.212,-9920.445464578437
14000000.0,0.251,-8280.562188083139
14500000.0,0.2938,-6640.678911587839
15000000.0,0.3352,-5000.79563509254
15500000.0,0.3796,-3360.9123585972393
16000000.0,0.423,-1721.0290821019396
16500000.0,0.4637,-81.14580560664014
17000000.0,0.5048,1558.7374708886598
17500000.0,0.5459,3198.6207473839595
18000000.0,0.5817,4838.504023879259
18500000.0,0.6171,6478.387300374558
19000000.0,0.6542,8118.270576869857
19500000.0,0.6888,9758.153853365158
20000000.0,0.7154,11398.037129860459
20500000.0,0.738,13037.920406355757
21000000.0,0.7646,14677.803682851058
21500000.0,0.7869,16317.686959346356
22000000.0,0.8075,17957.570235841657
22500000.0,0.8256,19597.453512336957
23000000.0,0.8428,21237.336788832257
23500000.0,0.8592,22877.220065327554
24000000.0,0.8713,24517.103341822858
24500000.0,0.8823,26156.986618318155
25000000.0,0.8931,27796.869894813455
25500000.0,0.905,29436.753171308756
26000000.0,0.9143,31076.636447804056
26500000.0,0.9221,32716.519724299353
27000000.0,0.9292,34356.40300079466
27500000.0,0.9367,35996.28627728995
28000000.0,0.9424,37636.16955378525
28500000.0,0.9477,39276.052830280554
29000000.0,0.9516,40915.93610677586
29500000.0,0.9566,42555.819383271155
30000000.0,0.9624,44195.702659766444
30500000.0,0.9658,45835.58593626175
31000000.0,0.97,47475.46921275705
31500000.0,0.9725,49115.35248925235
32000000.0,0.9752,50755.235765747646
32500000.0,0.9777,52395.11904224295
33000000.0,0.9801,54035.00231873825
33500000.0,0.9822,55674.88559523355
34000000.0,0.9835,57314.76887172885
34500000.0,0.9849,58954.65214822415
35000000.0,0.9859,60594.535424719455
35500000.0,0.987,62234.418701214745
36000000.0,0.9881,63874.301977710056
36500000.0,0.9889,65514.185254205346
37000000.0,0.9897,67154.06853070065
37500000.0,0.9905,68793.95180719595
38000000.0,0.991,70433.83508369124
38500000.0,0.9919,72073.71836018655
39000000.0,0.9927,73713.60163668184
39500000.0,0.9937,75353.48491317715
40000000.0,0.9941,76993.36818967244
40500000.0,0.9944,78633.25146616774
41000000.0,0.9946,80273.13474266305
41500000.0,0.9949,81913.01801915833
42000000.0,0.9952,83552.90129565365
42500000.0,0.9955,85192.78457214894
43000000.0,0.9958,86832.66784864424
43500000.0,0.9959,88472.55112513955
44000000.0,0.9962,90112.43440163483
44500000.0,0.9965,91752.31767813014
45000000.0,0.9969,93392.20095462544
45500000.0,0.997,95032.08423112074
46000000.0,0.9971,96671.96750761605
46500000.0,0.9973,98311.85078411135
47000000.0,0.9974,99951.73406060664
47500000.0,0.9974,101591.61733710194
48000000.0,0.9975,103231.50061359724
48500000.0,0.9977,104871.38389009253
49000000.0,0.9979,106511.26716658783
49500000.0,0.9981,108151.15044308314
50000000.0,0.9982,109791.03371957844
