parameter_id,label_ja,base_value,low_value,high_value,inmb_low_jpy,inmb_high_jpy,inmb_min_jpy,inmb_max_jpy,inmb_span_jpy,icer_low_jpy_per_qaly,icer_high_jpy_per_qaly,source_type
drug_cost_pep,エンシトレルビル薬剤費,49630.0,0.0,49630.0,11020.948615975349,-38609.05138402466,-38609.05138402466,11020.948615975349,49630.00000000001,1626712.4046055214,16817443.18405501,official_price
postacute_qaly_loss_per_surviving_symptomatic_case,生存した症候性COVID-19 1例当たり感染後1年QALY損失,0.03225,0.0106666666666667,0.052,-46735.06862491631,-31173.27498984965,-46735.06862491631,-31173.27498984965,15561.79363506666,33463661.440533612,11556887.729856871,japanese_retrospective_recall_test_negative_eq5d
postacute_cost_per_surviving_symptomatic_case,生存した症候性COVID-19 1例当たり感染後直接医療費,0.0,0.0,200000.0,-38609.05138402466,-23549.251092024657,-38609.05138402466,-23549.251092024657,15059.800292,16817443.18405501,12207945.464368396,conservative_evidence_gap_assumption
trial_control_symptomatic_risk,無治療群の症候性COVID-19リスク,0.09893,0.07176197835692195,0.13227421762838554,-43893.73362657537,-32226.504258286684,-43893.73362657537,-32226.504258286684,11667.229368288685,23566388.574309673,12395325.80162069,randomized_trial
additional_pep_access_cost,PEP導入に伴う追加アクセス費用,0.0,0.0,10000.0,-38609.05138402466,-48609.05138402466,-48609.05138402466,-38609.05138402466,10000.0,16817443.18405501,19878239.23069001,structural_assumption
trial_relative_risk_symptomatic_covid,エンシトレルビルの症候性COVID-19相対リスク,0.24,0.12,0.49,-35643.769497292975,-44930.02550411298,-44930.02550411298,-35643.769497292975,9286.256006820004,14445084.600198392,25543355.75224912,randomized_trial
administration_cost_pep,経口抗ウイルス薬の投薬関連費用,8100.0,4530.0,10000.0,-35039.05138402466,-40509.05138402466,-40509.05138402466,-35039.05138402466,5470.0,15724738.995406318,17398994.43291566,official_fee_schedule_microcost
incremental_ae_cost_pep,PEPによる増分有害事象費用,0.0,0.0,5000.0,-38609.05138402466,-43609.05138402466,-43609.05138402466,-38609.05138402466,5000.0,16817443.18405501,18347841.207372513,trial_and_assumption
cost_hospitalization,COVID-19入院1件当たり費用,1304431.0,798810.0,6210607.0,-38908.20432396915,-35706.29027583265,-38908.20432396915,-35706.29027583265,3201.9140481364957,16909007.797647145,15928967.211627021,japanese_hospital_cost_study
p_hospital_given_symptomatic,症候性COVID-19後の入院確率,0.00785,0.00494,0.01298,-39748.84138773605,-36599.73086201797,-39748.84138773605,-36599.73086201797,3149.1105257180825,17842074.526072115,15251453.631049216,japanese_claims_observational
hospitalization_attribution_fraction,全原因入院のCOVID-19帰属割合,1.0,0.0,1.0,-41683.74263114989,-38609.05138402466,-41683.74263114989,-38609.05138402466,3074.6912471252363,19869240.37362221,16817443.18405501,structural_assumption
p_death_given_hospital,COVID-19入院後死亡確率,0.12,0.06,0.2,-39751.638049631205,-37085.602496549254,-39751.638049631205,-37085.602496549254,2666.0355530819506,18082193.044707492,15382849.040703418,japanese_hospital_cohort
symptom_duration_outpatient_days,外来症例の症状持続日数,7.0,4.0,14.0,-39401.364038603715,-36760.32185667352,-39401.364038603715,-36760.32185667352,2641.042181930192,17674704.32344155,15107681.481269151,japanese_external_model
incremental_ae_qaly_loss_pep,PEPによる増分有害事象QALY損失,0.0,0.0,0.0005,-38609.05138402466,-41109.05138402466,-41109.05138402466,-38609.05138402466,2500.0,16817443.18405501,19856237.908646464,trial_and_assumption
remaining_qaly_if_acute_death,急性期死亡1件あたりの割引済み残存QALY,6.469490346669375,5.320961240249973,9.778527068286104,-39016.770832541064,-37434.36750381879,-39016.770832541064,-37434.36750381879,1582.4033287222774,17247932.989987887,15689240.043729832,derived_life_table_calibration
acute_cost_price_adjustment_factor,急性期費用の価格・診療差調整係数,1.0,0.8,1.2,-39166.117180098256,-38051.98558795105,-39166.117180098256,-38051.98558795105,1114.131592147205,16987949.662688777,16646936.705421245,structural_costing_assumption
disutility_outpatient,外来COVID-19のutility減少,0.258,0.181,0.335,-39160.803994900765,-38057.29877314854,-39160.803994900765,-38057.29877314854,1103.5052217522243,17405326.25292045,16267975.33022741,japanese_controlled_eq5d
cost_outpatient,症候性外来COVID-19費用,26927.0,21542.0,32312.0,-39011.73277454215,-38206.36999350715,-39011.73277454215,-38206.36999350715,805.3627810350008,16940695.744869955,16694190.623240065,japanese_ehr_cost
disutility_hospital,COVID-19入院中utility減少,0.284,0.056,0.5,-38647.83087404519,-38572.31291979467,-38647.83087404519,-38572.31291979467,75.51795425052114,16857461.48602649,16779705.978999417,japanese_eq5d_proxy
los_hospital_days,COVID-19入院日数,21.0,10.0,31.0,-38634.35362438057,-38586.04934733745,-38634.35362438057,-38586.04934733745,48.30427704312024,16843532.130045652,16793795.993426494,japanese_hospital_cohort
discount_rate_cost,費用の年割引率,0.02,0.0,0.04,-38609.05138402466,-38609.05138402466,-38609.05138402466,-38609.05138402466,0.0,16817443.18405501,16817443.18405501,guideline
discount_rate_qaly,QALYの年割引率,0.02,0.0,0.04,-38609.05138402466,-38609.05138402466,-38609.05138402466,-38609.05138402466,0.0,16817443.18405501,16817443.18405501,guideline
