scenario_id,structural_mode,incremental_cost_jpy,incremental_qaly,icer_jpy_per_qaly,icer_status,incremental_net_monetary_benefit_jpy,wtp_jpy_per_qaly,symptomatic_cases_prevented,secondary_symptomatic_cases_prevented,total_symptomatic_cases_prevented,observed_all_cause_hospitalizations_prevented,hospitalizations_prevented,deaths_prevented,pcc_cases_prevented,postacute_profile_cases_prevented,number_needed_to_treat,incremental_cost_per_symptomatic_case_prevented_jpy,threshold_total_pep_intervention_cost_jpy,threshold_drug_cost_jpy_holding_other_pep_costs_fixed,cost_effective_at_wtp,trial_population,perspective,description_ja,description_en
base_high_risk,symptomatic_mediation_profile,54944.671019632005,0.0032671239271214697,16817443.18405501,icer,-38609.05138402466,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,728999.2174556454,19120.948615975343,11020.948615975343,False,high_risk,public_healthcare_payer,重症化リスク因子あり。日本の実測入院率、入院死亡、生命表QALY、感染後1年EQ-5Dプロファイルを用いる投稿用主解析。,"Publication base case for high-risk household contacts using Japanese hospitalization, inpatient mortality, life-table QALYs, and a directly integrated one-year post-acute EQ-5D profile."
high_risk_no_postacute,symptomatic_mediation_profile,54944.671019632005,0.0008387311300364696,65509278.30381461,icer,-50751.015369449655,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,728999.2174556454,6978.984630550345,-1121.0153694496548,False,high_risk,public_healthcare_payer,感染後1年のQALY損失と直接医療費を除外する構造感度分析。,Structural sensitivity analysis excluding all post-acute QALY loss and direct medical cost.
high_risk_no_mortality,symptomatic_mediation_profile,54944.671019632005,0.0028100892608788506,19552642.60981096,icer,-40894.22471523775,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,0.0,0.0,0.07537,13.267878466233249,728999.2174556454,16835.775284762247,8735.775284762247,False,high_risk,public_healthcare_payer,急性期死亡回避を除外し、症状、入院、感染後QALYのみを評価。,Structural sensitivity analysis excluding acute mortality benefit.
high_risk_symptom_only,symptom_only,55700.51201,0.00037267137577002055,149462812.63193494,icer,-53837.1551311499,5000000.0,0.07537,0.0,0.07537,0.0,0.0,0.0,0.0,0.0,13.267878466233249,739027.6238556454,3892.844868850101,-4207.155131149899,False,high_risk,public_healthcare_payer,外来症状と外来費用の回避だけを含む下限シナリオ。,Lower-bound scenario limited to outpatient symptomatic illness and outpatient cost.
high_risk_face_to_face_no_test,symptomatic_mediation_profile,51754.671019632005,0.0032671239271214697,15841049.245178448,icer,-35419.05138402466,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,686674.6851483615,19120.948615975343,14210.948615975343,False,high_risk,public_healthcare_payer,対面初診と調剤を行うが、投与前検査を別途算定しない経路。,Face-to-face consultation and dispensing without separately billed pre-PEP testing.
high_risk_telemedicine_no_test,symptomatic_mediation_profile,51374.671019632005,0.0032671239271214697,15724738.995406318,icer,-35039.05138402466,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,681632.8913311928,19120.948615975343,14590.948615975343,False,high_risk,public_healthcare_payer,オンライン初診と調剤を行い、投与前検査を別途算定しない経路。,Telemedicine consultation and dispensing without separately billed pre-PEP testing.
high_risk_telemedicine_with_test,symptomatic_mediation_profile,54564.671019632005,0.0032671239271214697,16701132.934282882,icer,-38229.05138402466,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,723957.4236384769,19120.948615975343,11400.948615975343,False,high_risk,public_healthcare_payer,オンライン初診に加え、抗原検査と調剤を算定する経路。,Telemedicine consultation plus antigen testing and dispensing.
high_risk_age65_hospital_risk,symptomatic_mediation_profile,54450.7265252896,0.0035701991326543277,15251453.631049216,icer,-36599.73086201797,5000000.0,0.07537,0.0,0.07537,0.0009783026000000001,0.0009783026000000001,0.000117396312,0.0,0.075252603688,13.267878466233249,722445.6219356455,21130.26913798203,13030.269137982032,False,high_risk,public_healthcare_payer,JMDC研究の65歳以上無治療群の入院率1.298%を使用。,Uses the 1.298% hospitalization risk observed among untreated patients aged 65 years or older in the JMDC study.
high_risk_old_model_hospital_risk,symptomatic_mediation_profile,53996.259076304006,0.0038490519533395297,14028456.807254981,icer,-34750.999309606355,5000000.0,0.07537,0.0,0.07537,0.0013340490000000001,0.0013340490000000001,0.00016008588,0.0,0.07520991412,13.267878466233249,716415.8030556455,22979.000690393645,14879.000690393645,False,high_risk,public_healthcare_payer,旧日本CEAの症候性後入院率1.77%を使用。,Uses the 1.77% hospitalization risk from the earlier Japanese treatment CEA.
high_risk_immunocompromised_rr26,symptomatic_mediation_profile,53735.325435043196,0.004009156009283789,13403151.513837617,icer,-33689.54538862425,5000000.0,0.07537,0.0,0.07537,0.0015383017000000004,0.0015383017000000004,0.00018459620400000003,0.0,0.075185403796,13.267878466233249,712953.7672156454,24040.454611375753,15940.454611375753,False,high_risk,public_healthcare_payer,基準入院率に免疫不全患者の入院率比2.60を外挿した探索的解析。,Exploratory immunocompromised scenario applying a 2.60 hospitalization-rate multiplier to the base risk.
high_risk_postacute_cost_50k,symptomatic_mediation_profile,51179.720946632006,0.0032671239271214697,15665068.754133359,icer,-34844.10131102466,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,679046.3174556455,22885.898688975343,14785.898688975343,False,high_risk,public_healthcare_payer,生存した症候性COVID-19 1例当たり感染後直接医療費5万円。,"Adds JPY 50,000 post-acute direct medical cost per surviving symptomatic case."
high_risk_postacute_cost_100k,symptomatic_mediation_profile,47414.770873632006,0.0032671239271214697,14512694.324211704,icer,-31079.151238024657,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,629093.4174556455,26650.848761975343,18550.848761975343,False,high_risk,public_healthcare_payer,生存した症候性COVID-19 1例当たり感染後直接医療費10万円。,"Adds JPY 100,000 post-acute direct medical cost per surviving symptomatic case."
high_risk_postacute_cost_200k,symptomatic_mediation_profile,39884.870727632006,0.0032671239271214697,12207945.464368396,icer,-23549.251092024657,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,529187.6174556455,34180.74890797534,26080.748907975343,False,high_risk,public_healthcare_payer,生存した症候性COVID-19 1例当たり感染後直接医療費20万円。,"Adds JPY 200,000 post-acute direct medical cost per surviving symptomatic case."
legacy_incidence_duration,symptomatic_mediation,54591.15066497932,0.00161392091922721,33825170.74697754,icer,-46521.54606884327,5000000.0,0.07537,0.0,0.07537,0.0013340490000000001,0.0013340490000000001,7.705714162230002e-05,0.00482404516662949,0.0,13.267878466233249,724308.752354774,11208.453931156728,3108.453931156728,False,high_risk,public_healthcare_payer,v0.1のICU・人工呼吸器分岐とPCC incidence-durationモデルを再現する構造感度分析。,"Structural sensitivity analysis retaining the v0.1 ICU, ventilation, and PCC incidence-duration model."
very_high_risk,symptomatic_mediation_profile,46071.964362,0.007672476954090618,6004835.809566884,icer,-7709.579591546906,5000000.0,0.07537,0.0,0.07537,0.007537,0.007537,0.0009044400000000001,0.0,0.07446556,13.267878466233249,611277.2238556454,50020.420408453094,41920.420408453094,False,high_risk,public_healthcare_payer,症候性COVID-19後の入院確率10%とする非常に高リスクな探索的解析。,Hypothetical very-high-risk scenario with 10% hospitalization conditional on symptomatic COVID-19; this value was not observed in any Japanese source used in the model.
overall_exploratory,symptomatic_mediation_profile,55701.8120224,0.002814611979392198,19790227.722411864,icer,-41628.752125439016,5000000.0,0.060880000000000004,0.0,0.060880000000000004,0.0003044,0.0003044,3.6528e-05,0.0,0.06084347200000001,16.4257555847569,914944.3499080157,16101.247874560984,8001.247874560984,False,overall,public_healthcare_payer,SCORPIO-PEP全体集団の発症率と低い入院リスクを用いる探索的解析。,Exploratory overall-trial population analysis with a lower hospitalization risk.
overall_any_infection_pcc,any_infection_pcc,55837.55291317145,0.0008739856973105858,63888405.822879985,icer,-51467.624426618524,5000000.0,0.060880000000000004,0.0,0.060880000000000004,0.0003044,0.0003044,1.857226588e-05,0.004135058720779121,0.0,16.4257555847569,917173.9966026847,6262.375573381476,-1837.624426618524,False,overall,public_healthcare_payer,全感染エンドポイントと無症候感染後PCCを含む旧構造の探索的解析。,Legacy exploratory model using the all-infection endpoint and PCC after asymptomatic infection.
high_risk_hospital_attribution_50pct,symptomatic_mediation_profile,55322.591514816,0.003035238901445745,18226766.759105764,icer,-40146.39700758728,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.00029582725,3.549927e-05,0.0,0.07533450073,13.267878466233249,734013.4206556454,17583.60299241272,9483.602992412722,False,high_risk,public_healthcare_payer,全原因入院の50%のみをCOVID-19帰属とする構造感度分析。,Structural sensitivity analysis attributing 50% of observed all-cause hospitalizations to COVID-19.
high_risk_hospital_attribution_0pct,symptomatic_mediation_profile,55700.51201,0.002803353875770021,19869240.37362221,icer,-41683.74263114989,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0,0.0,0.0,0.07537,13.267878466233249,739027.6238556454,16046.257368850107,7946.257368850107,False,high_risk,public_healthcare_payer,全原因入院をCOVID-19に帰属させず、入院・死亡便益を除外する構造感度分析。,Structural sensitivity analysis attributing none of the all-cause hospitalizations to COVID-19.
high_risk_malignancy_or3941,symptomatic_mediation_profile,52788.96120369233,0.004589827597307986,11501295.001723805,icer,-29839.823217152396,5000000.0,0.07537,0.0,0.07537,0.0022790932993616256,0.0022790932993616256,0.000273491195923395,0.0,0.0750965088040766,13.267878466233249,700397.5216092918,27890.176782847604,19790.176782847604,False,high_risk,public_healthcare_payer,日本高リスク外来研究の悪性腫瘍OR 3.941を基準入院率に外挿。,Exploratory malignancy scenario using the Japanese outpatient odds ratio of 3.941.
high_risk_renal_or2003,symptomatic_mediation_profile,54198.38954264574,0.00372502843787848,14549792.155013295,icer,-35573.24735325333,5000000.0,0.07537,0.0,0.07537,0.0011758260383953867,0.0011758260383953867,0.0001410991246074464,0.0,0.07522890087539255,13.267878466233249,719097.6455173907,22156.752646746667,14056.752646746667,False,high_risk,public_healthcare_payer,日本高リスク外来研究の腎疾患OR 2.003を基準入院率に外挿。,Exploratory renal-disease scenario using the Japanese outpatient odds ratio of 2.003.
high_risk_immunosuppressive_or1637,symptomatic_mediation_profile,54469.356639639314,0.003558768039079418,15305677.706864381,icer,-36675.516444242225,5000000.0,0.07537,0.0,0.07537,0.0009637193858967863,0.0009637193858967863,0.00011564632630761436,0.0,0.07525435367369239,13.267878466233249,722692.8040286495,21054.483555757775,12954.483555757775,False,high_risk,public_healthcare_payer,日本高リスク外来研究の免疫抑制薬使用OR 1.637を基準入院率に外挿。,Exploratory immunosuppressive-drug scenario using the Japanese outpatient odds ratio of 1.637.
high_risk_bcell_depleting_airr510,symptomatic_mediation_profile,51845.7229591232,0.005168581137662405,10030939.164586952,icer,-26002.817270811178,5000000.0,0.07537,0.0,0.07537,0.0030174379499999927,0.0030174379499999927,0.0003620925539999991,0.0,0.075007907446,13.267878466233249,687882.7512156455,31727.182729188822,23627.182729188822,False,high_risk,public_healthcare_payer,国内claims研究のB細胞枯渇療法aIRR 5.10を基準入院率に外挿。,Exploratory B-cell-depleting-therapy scenario applying a hospitalization aIRR of 5.10.
high_risk_death_qaly_age75,symptomatic_mediation_profile,54944.671019632005,0.003502060703162644,15689240.043729832,icer,-37434.36750381879,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,728999.2174556454,20295.632496181213,12195.632496181213,False,high_risk,public_healthcare_payer,急性死亡時の残存QALYを年齢75歳proxyで校正。,Mortality-QALY scenario calibrated to an age-75 proxy cohort.
high_risk_death_qaly_age85,symptomatic_mediation_profile,54944.671019632005,0.003185580037418188,17247932.989987887,icer,-39016.770832541064,5000000.0,0.07537,0.0,0.07537,0.0005916545,0.0005916545,7.099854e-05,0.0,0.07529900146000001,13.267878466233249,728999.2174556454,18713.229167458936,10613.229167458936,False,high_risk,public_healthcare_payer,急性死亡時の残存QALYを年齢85歳proxyで校正。,Mortality-QALY scenario calibrated to an age-85 proxy cohort.
